Protein Id	Gene Symbol	Description	Number of peptides	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
YAL010C	MDM10	"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins"	12	10.4528	12.5618	11.4928	11.3595	8.39393	9.49099	9.60492	8.93639	8.35557	9.35134
YAL011W	SWC3	"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"	1	8.34475	5.93527	9.1654	8.91663	18.9671	7.55319	7.57084	13.592	8.93586	11.0189
YAL012W	CYS3	"Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine"	4	13.1139	3.49923	10.0087	5.78664	12.0294	9.61359	11.5553	12.3295	11.4967	10.567
YAL013W	DEP1	"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"	3	8.98928	3.65002	9.31602	6.05164	10.8599	9.24936	7.8279	19.9646	11.5435	12.5478
YAL016W	TPD3	"Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"	5	10.7099	6.65156	11.261	6.77528	9.27879	10.6014	13.4193	9.61623	10.2022	11.4844
YAL017W	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status	3	9.2003	10.066	5.81467	8.76178	9.24715	20.1372	7.01377	8.20952	13.6491	7.90056
YAL019W	FUN30	"Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"	3	9.83359	10.5018	8.94106	11.5034	12.049	9.14939	8.03264	11.1651	9.11823	9.70577
YAL021C	CCR4	"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	3	10.5437	6.95033	9.05135	7.6049	10.9483	12.2349	10.091	10.1755	11.1905	11.2096
YAL023C	PMT2	"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal"	33	10.9631	6.09312	10.4559	7.80853	10.6084	10.4883	10.6205	10.6145	10.896	11.4516
YAL025C	MAK16	"Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"	2	10.8042	5.86696	8.79185	5.66005	13.3722	12.2657	8.17379	12.3367	13.6435	9.08505
YAL026C	DRS2	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease	10	10.7821	6.9732	9.89802	7.88541	10.4677	12.2114	9.76572	10.6494	11.5651	9.80179
YAL028W	FRT2	"Tail-anchored ER membrane protein, interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate"	1	7.69834	9.17691	9.55716	10.8439	10.8113	13.036	8.38238	10.0325	13.6807	6.78077
YAL029C	MYO4	"One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p"	3	10.388	6.23323	7.94656	7.45979	12.4897	13.1709	9.62841	11.2093	12.432	9.04195
YAL030W	SNC1	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins	4	7.35964	7.2374	8.3541	9.54564	20.2763	13.5748	2.64464	9.77045	18.4805	2.75648
YAL031C	GIP4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	8	11.637	9.0596	9.65273	8.44695	11.7337	11.6144	8.82665	10.3381	11.0546	7.63634
YAL032C	PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	1	9.2737	12.4404	6.70552	6.05669	11.4892	9.6105	9.56091	13.1967	8.51379	13.1525
YAL034C	FUN19	Non-essential protein of unknown function; expression induced in response to heat stress	3	9.28962	5.20171	8.44139	6.24964	12.6837	9.43213	10.0529	15.3405	11.7588	11.5497
YAL035W	FUN12	"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2"	9	10.4172	6.29385	9.94635	7.42797	11.5241	11.1851	11.1296	10.6838	11.9944	9.3977
YAL036C	RBG1	"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"	6	11.1058	6.18003	10.9319	7.6167	10.0967	10.7511	9.79917	12.0923	11.5783	9.84801
YAL038W	CDC19	"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration"	77	12.9131	2.81527	8.06255	4.43218	9.79923	10.1338	14.608	11.6721	11.7497	13.8141
YAL039C	CYC3	"Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)"	23	8.55772	14.5914	10.3467	12.3638	8.32557	8.37251	8.84906	9.724	8.74033	10.1289
YAL041W	CDC24	"Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing"	5	12.7804	5.15548	7.89135	6.21323	14.3936	9.22781	10.6026	12.6702	8.82255	12.2427
YAL042W	ERV46	"Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport"	6	10.1	7.72028	12.7179	9.34673	9.91364	12.1776	14.0613	7.8203	8.8867	7.25554
YAL044C	GCV3	"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"	6	9.12144	14.9847	11.1358	16.1067	6.44217	10.431	7.49124	8.15398	7.30285	8.83
YAL044W-A	YAL044W-A	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein	1	10.0958	15.6406	10.1217	13.6142	7.5645	10.4391	9.02623	8.57393	8.46262	6.46137
YAL046C	AIM1	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss	4	7.69643	19.817	12.2141	17.3512	5.47009	8.01583	7.53758	7.37342	7.07307	7.4513
YAL048C	GEM1	"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death"	15	8.85943	13.0107	11.5008	13.9149	6.86729	9.99862	8.61142	9.39406	9.04836	8.79443
YAL049C	AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	9	12.04	3.09334	8.77978	4.30208	9.70017	11.6562	12.4871	13.197	12.4324	12.3119
YAL051W	OAF1	"Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis"	1	11.3189	8.03739	10.8435	5.9105	15.8261	9.8987	6.62084	13.862	9.19827	8.48373
YAL053W	FLC2	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance	7	10.5869	8.59644	10.8764	8.83041	11.432	8.08855	10.3302	10.4982	9.4726	11.2883
YAL054C	ACS1	"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"	14	8.84657	7.88625	5.33111	9.20256	7.417	18.9466	10.7589	7.9973	13.4916	10.1221
YAL055W	PEX22	"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation"	3	7.09438	9.88502	12.5123	14.8137	7.92207	7.64556	6.76943	10.3738	10.8082	12.1756
YAL056W	GPB2	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p"	9	12.018	6.75425	11.7481	7.41633	11.9478	8.85689	9.57465	11.4154	10.3664	9.90224
YAL058W	CNE1	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"	1	10.7954	7.27402	9.97181	7.55753	11.632	10.9396	11.3315	9.05475	13.6613	7.7821
YAL060W	BDH1	"NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"	6	11.771	2.77675	8.06863	4.16535	11.2883	11.1649	15.2557	10.4658	11.3697	13.6738
YAL062W	GDH3	"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources"	13	13.715	4.18526	9.17066	5.4811	9.61153	9.56988	12.3935	11.5917	12.0008	12.2806
YAR002C-A	ERP1	"Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	8	10.3038	6.57977	9.50752	7.19104	10.2373	10.9808	12.2715	9.72448	12.6215	10.5823
YAR002W	NUP60	"Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1"	2	11.8745	10.2843	9.34499	4.8752	14.112	10.7035	7.67883	11.7316	10.0674	9.32773
YAR007C	RFA1	"Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"	18	11.3928	3.38614	8.90648	3.97335	12.7909	8.6096	12.3663	13.9949	9.46152	15.118
YAR008W	SEN34	"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"	2	9.23847	14.5195	10.3347	13.0337	7.57617	9.13019	8.18213	10.1288	7.27647	10.5799
YAR010C	YAR010C	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; in YARCTY1-1 TYB is mutant and probably non-functional	28	9.01914	5.40491	9.05933	7.90849	10.3087	12.6387	8.55251	13.6838	14.0616	9.3629
YAR015W	ADE1	"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine"	9	10.9465	3.08594	7.05026	4.85444	11.4882	12.9405	12.5461	12.7211	12.0518	12.3151
YAR018C	KIN3	Nonessential serine/threonine protein kinase; possible role in DNA damage response	2	10.1483	7.61103	9.3834	7.9624	9.39361	12.8363	9.12679	11.5252	12.7005	9.31249
YAR027W	UIP3	Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family	1	11.6149	6.21634	6.74941	9.00566	16.8252	13.6717	8.32423	12.1694	10.1589	5.26434
YAR031W	PRM9	"Pheromone-regulated protein with 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family"	4	8.4067	7.37326	9.23782	9.09747	12.2495	13.6561	10.6956	12.2429	10.5197	6.52091
YAR035W	YAT1	"Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated"	11	14.8543	4.43049	7.31474	5.323	12.7277	8.94908	10.8322	14.2457	9.28183	12.041
YAR042W	SWH1	Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction	15	12.1006	5.88079	8.5657	7.61089	10.4133	11.6533	10.7694	11.1032	11.2989	10.6039
YBL002W	HTB2	"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation"	17	9.03992	5.42951	8.26975	5.90626	14.8668	6.98044	7.44657	17.5343	10.6252	13.9013
YBL003C	HTA2	"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"	6	7.75723	5.89157	7.92147	6.13469	12.6927	7.3158	8.59421	18.4254	10.7675	14.4995
YBL004W	UTP20	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	5	11.4408	6.27399	11.5477	7.86703	9.33608	11.1313	10.0261	11.5636	12.905	7.90847
YBL005W-B	YBL005W-B	"Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"	15	9.08851	5.10176	9.10276	7.09735	10.4234	9.92624	9.72743	13.7385	14.0508	11.7432
YBL007C	SLA1	Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains	13	11.5209	3.14368	11.1143	4.35549	11.6015	13.1303	11.6114	10.3231	12.8443	10.3548
YBL011W	SCT1	"Glycerol 3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase of the glycerolipid biosynthesis pathway, prefers 16-carbon fatty acids, similar to Gpt2p, gene is constitutively transcribed"	8	10.7219	9.22726	10.2189	9.15842	9.86056	10.2136	9.80481	11.1925	9.97514	9.62685
YBL013W	FMT1	"Methionyl-tRNA formyltransferase, catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate"	7	10.8637	11.9187	12.6199	13.8989	7.26069	8.62442	9.69398	8.66717	8.05632	8.39635
YBL015W	ACH1	"Protein with CoA transferase activity, particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth"	270	9.82665	17.1002	9.26367	14.6025	8.31376	9.16169	8.59546	7.21516	7.48029	8.4406
YBL016W	FUS3	"Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its degradation"	5	8.35692	7.0334	6.92189	8.0266	9.48926	15.0642	9.4807	10.6171	13.7955	11.2144
YBL017C	PEP1	Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments	11	10.8396	6.61832	9.20226	6.22047	11.3385	11.6522	10.4737	10.6338	12.3455	10.6756
YBL019W	APN2	Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII	3	11.1007	6.72093	11.0958	6.89304	9.64207	12.9005	8.98113	11.6564	11.9816	9.02794
YBL022C	PIM1	"ATP-dependent Lon protease, involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria"	89	8.85651	15.1748	11.353	13.6583	7.86492	8.99037	8.93326	8.08415	8.52992	8.55479
YBL023C	MCM2	Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex	2	11.167	5.78213	9.67615	8.82568	10.0825	13.3179	7.78264	11.8428	10.9192	10.604
YBL024W	NCL1	"S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase, methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; similar to Nop2p and human proliferation associated nucleolar protein p120"	7	13.5532	2.75178	8.6744	4.15763	11.2785	9.85761	13.9485	12.0751	10.8584	12.8448
YBL025W	RRN10	"Protein involved in promoting high level transcription of rDNA, subunit of UAF (upstream activation factor) for RNA polymerase I"	1	8.36989	6.11558	8.14266	5.36502	15.2372	7.48041	7.61224	17.3884	10.5058	13.7829
YBL027W	RPL19B	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl19Ap and has similarity to rat L19 ribosomal protein; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal"	10	11.1627	4.19211	9.67612	6.24932	15.8467	9.8089	8.81485	13.0871	11.8266	9.33558
YBL029C-A	YBL029C-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica	3	7.76389	7.18778	9.77173	7.65296	8.54408	11.1789	11.9524	10.5956	11.6244	13.7282
YBL030C	PET9	"Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; phosphorylated; required for viability in many lab strains that carry a sal1 mutation"	173	9.83326	12.0229	10.8547	12.4561	8.97696	9.23226	9.3473	10.3766	7.10963	9.79025
YBL032W	HEK2	"RNA binding protein involved in the asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K"	7	12.2245	5.63902	12.109	7.53894	10.8289	11.7437	8.44426	13.0056	12.4809	5.98521
YBL033C	RIB1	GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway	2	10.9618	3.58218	8.12037	5.31494	11.1871	10.2438	12.057	12.2053	11.8501	14.4774
YBL035C	POL12	"B subunit of DNA polymerase alpha-primase complex, required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation"	1	13.9008	5.14953	11.3212	4.8587	11.2458	8.74271	12.3567	11.2274	10.8462	10.351
YBL038W	MRPL16	Mitochondrial ribosomal protein of the large subunit	12	8.5654	13.2465	9.42295	11.853	8.56902	9.29428	9.53617	10.6554	8.18109	10.6762
YBL039C	URA7	"Major CTP synthase isozyme (see also URA8), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis"	5	10.4367	3.26563	6.6798	5.56	9.3659	15.5972	12.5319	10.8709	12.1296	13.5623
YBL041W	PRE7	Beta 6 subunit of the 20S proteasome	4	12.058	3.25708	10.8164	5.2701	9.34239	9.3733	13.9324	11.9819	11.551	12.4174
YBL045C	COR1	"Core subunit of the ubiquinol-cytochrome c reductase complex (bc1 complex), which is a component of the mitochondrial inner membrane electron transport chain"	121	9.3391	12.5264	10.3562	12.3531	9.2603	8.17219	9.95101	8.91297	7.37927	11.7495
YBL047C	EDE1	"Key endocytic protein involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner, may also bind ubiquitinated membrane-associated proteins"	27	11.7222	5.8053	13.6004	6.20439	11.4405	9.73134	11.1883	10.0102	10.0175	10.2798
YBL050W	SEC17	"Peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; stimulates the ATPase activity of Sec18p; has similarity to mammalian alpha-SNAP"	13	9.31091	4.40553	8.96664	7.41657	11.5614	12.7977	9.96859	11.7778	13.0172	10.7776
YBL055C	YBL055C	3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases	4	10.6264	13.1934	10.2582	11.8124	9.46623	9.01836	8.78066	8.37093	9.7388	8.73461
YBL056W	PTC3	Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p (see also Ptc2p) to limit maximal kinase activity induced by osmotic stress; dephosphorylates T169 phosphorylated Cdc28p (see also Ptc2p); role in DNA damage checkpoint inactivation	3	11.6495	5.93985	9.62901	6.03921	11.019	9.10622	12.3043	11.2578	10.5621	12.493
YBL057C	PTH2	One of two (see also PTH1) mitochondrially-localized peptidyl-tRNA hydrolases; negatively regulates the ubiquitin-proteasome pathway via interactions with ubiquitin-like ubiquitin-associated proteins; dispensable for cell growth	15	7.84809	13.0938	9.61411	12.3754	7.38585	10.2013	9.37128	9.59443	10.7092	9.80655
YBL058W	SHP1	UBX (ubiquitin regulatory X) domain-containing protein that regulates Glc7p phosphatase activity and interacts with Cdc48p; interacts with ubiquitylated proteins in vivo and is required for degradation of a ubiquitylated model substrate	3	12.8381	3.58403	9.58003	5.09837	10.8709	10.8716	13.6833	10.5856	12.1747	10.7134
YBL059C-A	CMC2	Protein of the mitochondrial intermembrane space with a role in respiratory chain complex assembly or maintenance; contains twin Cx9C motifs that can form coiled coil-helix-coiled-coil helix fold	2	9.46289	15.3916	6.66157	15.1274	16.8963	8.58549	6.38175	7.59502	8.02091	5.87713
YBL059W	YBL059W	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	15	9.46732	11.907	11.9383	11.3705	8.29047	8.54003	10.3747	9.73753	8.20023	10.1741
YBL060W	YEL1	Guanine nucleotide exchange factor specific for Arf3p; localized to the bud neck and tip; required for localization of Arf3p to the bud neck and tip	3	9.07706	7.60084	12.4452	9.31896	7.06918	10.8484	11.2315	9.72117	12.7939	9.89379
