Protein Id	Gene Symbol	Description	Number of peptides	2726_1	2726_2	2726_3	2726_4	2726_5	2995_1	2995_2	2995_3	2995_6	2995_7
R0020C	REP1	Master regulator that acts in concert with Rep2p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; autoregulates levels of its own transcript	7	1347.59	694.928	121.705	395.367	609.27	1049.38	1726.94	1890.43	633.383	547.06
R0040C	REP2	Master regulator that acts in concert with Rep1p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; also autoregulates levels of its own transcript	2	79.4272	159.16	10.5027	13.2331	82.0778	159.12	72.1355	105.795	116.529	136.376
YAL001C	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding	1	98.0388	87.0312	84.9365	115.206	93.0946	96.5809	68.3378	96.2301	106.583	127.109
YAL002W	VPS8	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif	3	358.811	195.264	189.018	199.209	213.911	240.561	408.696	389.648	229.722	209.213
YAL003W	EFB1	"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"	12	1410.7	2177.86	2423.89	1266.05	1411.92	2279.61	1359.03	1321.34	1667.53	1071.17
YAL005C	SSA1	"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identical with Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes"	103	10582.3	23274	24488.4	14351.1	11703.1	17583.3	10989.1	9795.06	14127.6	10342.5
YAL007C	ERP2	"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	9	1094.2	1139.66	982.366	1159.89	907.656	911.835	857.603	965.135	811.97	1218.75
YAL008W	FUN14	Mitochondrial protein of unknown function	3	190.156	180.771	260.805	355.605	278.437	205.723	173.187	169.524	273.375	347.842
YAL009W	SPO7	"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"	4	767.271	721.948	738.155	605.253	711.342	738.859	629.5	744.038	657.35	674.673
YAL010C	MDM10	"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins"	16	1527.5	1781.43	1645.86	1639.37	2067.68	1737.2	1923.9	1827.05	1828.98	1598.12
YAL012W	CYS3	"Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine"	4	316.764	511.812	395.866	265.292	332.679	561.208	523.377	510.99	399.988	262.475
YAL015C	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress	1	89.6578	79.3979	67.9876	93.3431	80.4386	111.838	94.7872	103.426	112.993	128.64
YAL016W	TPD3	"Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"	7	421.945	642.43	817.219	675.234	418.112	805.727	741.202	662.776	608.249	941.786
YAL017W	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status	8	2160.03	1104.59	538.137	412.323	1071.69	1177.38	2239.33	2199.42	662.431	591.364
YAL019W	FUN30	"Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"	3	198.363	93.5681	76.0128	66.8429	117.293	101.062	150.827	156.632	76.9146	66.632
YAL021C	CCR4	"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	8	1219.27	716.541	768.392	439.932	508.605	1007.29	1970.7	2093.2	775.749	441.601
YAL023C	PMT2	"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal"	42	4727.41	5186.26	3813.64	2928.81	4092.88	3866.39	3719.26	4563.01	3028.52	2418.95
YAL024C	LTE1	Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	1	31.5	28.3832	29.8801	31.3384	20.3191	23.7292	32.0711	36.8342	19.1528	26.2825
YAL025C	MAK16	"Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"	3	369.672	476.742	352.396	309.338	325.011	491.122	388.901	405.367	275.772	308.045
YAL026C	DRS2	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease	17	2118.95	1739.9	1394.9	1033.47	1369.06	1700.93	1654.41	1669.82	1206.3	1006.84
YAL029C	MYO4	"One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p"	6	478.796	313.824	232.109	271.232	339.3	384.852	472.168	521.407	249.983	222.528
YAL031C	GIP4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	9	304.922	599.266	727.056	1034.07	520.536	680.358	393.633	349.058	751.501	1243.04
YAL033W	POP5	"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"	1	448.427	365.728	228.433	227.91	377.33	317.344	331.246	389.279	196.368	225.811
YAL035W	FUN12	"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2"	17	2635.89	1917.34	1898.67	1212.54	1447.4	2578.85	3350.02	3629.66	1529.93	982.211
YAL036C	RBG1	"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"	5	899.228	396.231	315.257	366.236	715.9	495.472	725.563	846.146	277.913	300.101
YAL038W	CDC19	"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration"	76	11623.3	15367.3	15485.5	6687.58	9700.95	14460.2	10488.3	10057.5	10278.9	6144.4
YAL039C	CYC3	"Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)"	20	3649.02	3425.25	2808.98	3838.44	4246.41	2873.29	2919.99	3264.87	3304.69	4248.91
YAL041W	CDC24	"Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing"	10	1602.66	798.352	753.979	546.442	827.308	1011.52	2050.65	2007.64	849.168	605.726
YAL042W	ERV46	"Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport"	8	1511.45	1427.36	1135.17	1106.28	1317.65	1195.02	1219.09	1363.74	1066.34	1106.7
YAL043C	PTA1	"Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"	2	156.467	120.935	117.339	122.968	116.75	165.183	170.551	168.945	125.86	140.761
YAL044C	GCV3	"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"	12	432.028	841.67	1153.44	1136.67	1022.99	770.328	709.333	475.877	972.41	1057.55
YAL044W-A	YAL044W-A	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein	3	76.866	96.0295	103.216	153.14	137.799	78.7867	90.1086	65.0861	117.342	172.916
YAL046C	AIM1	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss	6	987.647	1127.48	1462.02	2564.88	1749.84	1060.96	1034.12	941.122	1607.36	2715.77
YAL048C	GEM1	"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death"	13	854.163	1162.12	1327.35	1567.18	1130.78	1115.25	875.744	869.629	1221.04	1401.64
YAL049C	AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	6	266.744	695.179	766.299	308.498	355.216	741.701	364.651	363.89	527.839	244.037
YAL053W	FLC2	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance	4	240.018	406.189	450.82	411.406	308.686	385.758	241.003	210.076	441.94	464.925
YAL054C	ACS1	"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"	28	3434.47	1834.85	1989.21	908.589	1236.69	3658.02	7206.57	8389.48	1774.18	941.789
YAL055W	PEX22	"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation"	3	194.558	269.888	223.108	339.672	263.044	171.913	132.581	128.854	193.097	247.598
YAL056W	GPB2	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p"	6	452.133	465.728	451.761	555.75	468.283	518.875	592.84	559.663	477.488	620.26
YAL058W	CNE1	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"	3	369.666	384.535	350.727	294.949	299.629	367.329	274.297	288.211	300.699	290.061
YAL060W	BDH1	"NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"	4	340.287	510.494	675.726	260.535	371.954	660.411	452.155	381.152	528.507	281.557
YAL062W	GDH3	"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources"	14	917.341	1613.41	1543.14	882.148	997.079	1900.12	1457.59	1094.89	1548.21	886.696
YAR002C-A	ERP1	"Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	13	2948.98	3004.45	2495.35	2081.29	2344.44	2931.43	2283.38	2819.34	2071.25	1608.58
YAR002W	NUP60	"Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1"	1	39.7479	75.1096	64.3729	93.0193	54.2759	47.4763	31.2986	35.0077	82.2532	150.266
YAR007C	RFA1	"Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"	13	1279.65	1858.15	1612.7	723.452	1138.39	2332.6	1516.95	1540.34	1568.44	732.171
YAR008W	SEN34	"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"	2	146.005	130.632	124.029	123.003	155.458	119.912	161.814	144.518	121.394	124.304
YAR009C	YAR009C	Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional	21	4966.21	2823.86	2197.45	2163.66	2468.77	2294.56	2990.76	3475.93	1945.29	2283.83
YAR015W	ADE1	"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine"	5	472.843	1086.39	1570.09	601.821	693.288	1192.37	571.708	450.875	1094.65	667.839
YAR018C	KIN3	Nonessential serine/threonine protein kinase; possible role in DNA damage response	2	135.936	198.331	185.535	195.699	169.404	176.411	157.326	144.885	174.905	207.877
YAR033W	MST28	"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles"	1	21.5735	37.1968	64.7169	146.267	41.593	64.0387	18.4678	16.7461	84.8842	135.312
YAR035W	YAT1	"Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated"	15	2439.94	1345.65	1057.28	596.031	1153.78	1772.56	3060.9	3388.4	1038.3	844.103
YAR042W	SWH1	Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction	32	3045.93	2382.49	2117.58	1936.89	2212.84	2419.89	3175.19	3336.84	1785.16	1553.72
YAR071W	PHO11	"One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2"	2	163.04	118.267	74.5973	49.2572	100.186	90.0336	109.616	123.661	69.5245	48.4337
YBL002W	HTB2	"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation"	23	5555.9	4874.56	4346.21	5527.26	2671.56	5309.5	4348.43	5803.84	5655.17	7068.54
YBL003C	HTA2	"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"	4	455.191	299.976	445.779	532.898	241.303	385.49	294.654	323.256	557.457	670.899
YBL004W	UTP20	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	11	792.058	570.558	489.636	499.585	584.58	677.082	872.625	943.869	542.555	556.161
YBL005W-B	YBL005W-B	"Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"	24	5786.59	2681.64	2138.43	1748.41	2513.68	3052.37	4642.14	5636.45	2222.23	1772.11
YBL007C	SLA1	Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains	15	1042.76	2288.95	1996.22	2215.5	1383.14	2716.2	1425.12	1314.78	1656.4	1988.71
YBL011W	SCT1	"Glycerol 3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase of the glycerolipid biosynthesis pathway, prefers 16-carbon fatty acids, similar to Gpt2p, gene is constitutively transcribed"	17	1226.44	1740.53	1546.76	1635.6	1625.06	1445.61	977.536	1041.42	1292.99	1434.32
YBL013W	FMT1	"Methionyl-tRNA formyltransferase, catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate"	12	1184.42	656.879	793.667	1076.96	984.038	691.701	882.324	894.496	922.419	1092.04
YBL015W	ACH1	"Protein with CoA transferase activity, particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth"	234	19790.2	24819	33002.8	32824.5	29599.6	27110.1	25910.8	23536.5	38525.4	35551.8
YBL016W	FUS3	"Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its degradation"	5	419.414	285.776	272.21	179.968	230.735	444.279	596.877	635.17	311.34	192.875
YBL017C	PEP1	Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments	21	2971.83	2419.92	1799.6	1462.17	2073.86	2377.61	2430.64	2642.74	1770.35	1644.49
YBL019W	APN2	Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII	1	66.2076	65.1622	46.7743	40.1237	36.0467	72.5836	111.478	118.021	44.118	36.6377
YBL020W	RFT1	Essential integral membrane protein that is required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein	2	99.9642	83.0812	63.8031	62.3965	75.7967	79.8644	84.5415	95.7678	69.7465	60.8585
YBL022C	PIM1	"ATP-dependent Lon protease, involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria"	102	10589.4	12453.8	14597.8	18132.1	16363.5	11365.4	11609	9571.28	15495.4	18440.2
YBL023C	MCM2	Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex	4	464.046	247.219	159.901	146.545	190.616	333.176	697.686	691.866	165.484	177.872
YBL024W	NCL1	"S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase, methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; similar to Nop2p and human proliferation associated nucleolar protein p120"	5	157.118	359.829	331.733	171.427	205.713	388.082	226.955	195.744	298.684	180.526
YBL026W	LSM2	"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA"	1	19.6251	22.8107	24.1457	20.0521	17.4734	24.4557	32.8538	35.131	18.2139	20.2279
YBL027W	RPL19B	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl19Ap and has similarity to rat L19 ribosomal protein; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal"	27	5544.73	6810.41	5563.13	4544.36	5409.81	7456.32	6055.93	6577.04	4547.72	4366.86
YBL029C-A	YBL029C-A	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica	4	153.606	148.807	209.058	219.181	170.457	191.547	148.102	107.538	288.111	287.199
YBL030C	PET9	"Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; phosphorylated; required for viability in many lab strains that carry a sal1 mutation"	212	42658.1	27327.2	22544.1	27048.5	33657.3	24992.7	33183.7	33883.1	30592.6	26136.1
YBL032W	HEK2	"RNA binding protein involved in the asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K"	3	648.763	236.362	261.332	183.985	239.682	524.938	934.107	1198.2	249.169	111.417
YBL036C	YBL036C	Putative non-specific single-domain racemase based on structural similarity; binds pyridoxal 5'-phosphate; expression of GFP-fusion protein induced in response to the DNA-damaging agent MMS	2	102.337	128.042	194.665	100.437	115.291	178.251	85.8743	75.7991	189.216	116.58
YBL038W	MRPL16	Mitochondrial ribosomal protein of the large subunit	19	3042.08	1756.78	2292.02	2666.8	2614.71	1913.3	2416.15	2435.64	2886.18	3136.99
YBL039C	URA7	"Major CTP synthase isozyme (see also URA8), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis"	12	1330.41	856.496	708.099	387.348	713.272	1071.76	1562.04	1676.79	661.074	402.271
YBL041W	PRE7	Beta 6 subunit of the 20S proteasome	2	513.612	552.688	498.423	379.55	538.398	490.236	436.255	381.19	340.715	385.698
YBL045C	COR1	"Core subunit of the ubiquinol-cytochrome c reductase complex (bc1 complex), which is a component of the mitochondrial inner membrane electron transport chain"	203	41372.2	28658.4	23689.7	25293	32746	25449.3	32674.1	36811.1	30407.1	22951
YBL047C	EDE1	"Key endocytic protein involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner, may also bind ubiquitinated membrane-associated proteins"	25	1489.6	2673.79	3687.77	2878.87	1554.37	2500.09	1580.6	1378.26	2156.52	2293.4
YBL050W	SEC17	"Peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; stimulates the ATPase activity of Sec18p; has similarity to mammalian alpha-SNAP"	17	2335.66	1939.39	1465.35	922.407	1605.37	1508.68	1641.18	1739.29	1063.83	856.531
YBL051C	PIN4	"Protein involved in G2/M phase progression and response to DNA damage, interacts with Rad53p; contains an RNA recognition motif, a nuclear localization signal, and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage"	1	14.5751	35.8119	43.3091	12.9145	18.4298	31.7914	23.3664	19.75	27.1153	21.8132
YBL055C	YBL055C	3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases	3	228.669	426.421	482.957	651.675	499.712	446.68	340.698	271.302	535.407	811.181
YBL056W	PTC3	Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p (see also Ptc2p) to limit maximal kinase activity induced by osmotic stress; dephosphorylates T169 phosphorylated Cdc28p (see also Ptc2p); role in DNA damage checkpoint inactivation	5	235.631	440.277	437.457	226.491	306.821	531.229	293.358	275.095	407.67	249.827
YBL057C	PTH2	One of two (see also PTH1) mitochondrially-localized peptidyl-tRNA hydrolases; negatively regulates the ubiquitin-proteasome pathway via interactions with ubiquitin-like ubiquitin-associated proteins; dispensable for cell growth	14	888.742	1355.74	1622.27	1587.33	1454.88	1168.34	1017.66	854.458	1370.88	1330.26
YBL058W	SHP1	UBX (ubiquitin regulatory X) domain-containing protein that regulates Glc7p phosphatase activity and interacts with Cdc48p; interacts with ubiquitylated proteins in vivo and is required for degradation of a ubiquitylated model substrate	7	474.468	1170.74	1236.27	565.651	616.814	1162.74	702.375	558.648	847.37	478.738
YBL059C-A	CMC2	Protein of the mitochondrial intermembrane space with a role in respiratory chain complex assembly or maintenance; contains twin Cx9C motifs that can form coiled coil-helix-coiled-coil helix fold	12	982.827	1390.25	2084.91	2353.59	1904.8	1523.89	1377.18	1392.65	2704.67	3440.45
YBL059W	YBL059W	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	9	1230.34	882.8	1038.25	1294.4	1335.96	908.081	993.545	914.746	1189.18	1327.9
YBL060W	YEL1	Guanine nucleotide exchange factor specific for Arf3p; localized to the bud neck and tip; required for localization of Arf3p to the bud neck and tip	5	290.426	455.849	441.557	501.27	369.585	578.262	369.935	372.867	546.393	615.984
YBL061C	SKT5	"Activator of Chs3p (chitin synthase III), recruits Chs3p to the bud neck via interaction with Bni4p; has similarity to Shc1p, which activates Chs3p during sporulation"	6	715.221	488.558	438.69	368.003	405.359	578.449	729.799	767.464	337.608	273.003
YBL064C	PRX1	"Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity, has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated"	59	5064.42	7308.18	8914.21	11332.6	9021.39	6732.71	6517.83	5220.27	8793	11336
YBL066C	SEF1	"Putative transcription factor, has homolog in Kluyveromyces lactis"	5	471.378	123.56	121.86	103.686	152.925	349.09	900.327	961.84	246.449	136.643
YBL067C	UBP13	"Putative ubiquitin carboxyl-terminal hydrolase, ubiquitin-specific protease that cleaves ubiquitin-protein fusions"	5	1292.46	908.479	663.194	689.189	952.486	751.506	986.256	984.85	552.298	464.114
